Anio,Trimestre,Empresa,NombreCorto,NombreLargo,SIC,NAICS,Activos,Inventarios,PasivoCirc,PasivoLP,PPE,CPP,Efectivo,GC,CBV,UOAD,Ventas,IGR,Deuda,CPC,GO,GVGA,Precio_Accion,mkt_capital,No_Acciones
2012,3,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,153149.331,20522.249,34600.097,57413.848,72740.977,19169.45,12473.53,1739.838989,42069.08984,4271.524902,50936.51172,522.0419922,45762.64844,25545.38867,46664.98828,4595.898438,122520.818,122520.818,1
2012,4,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,153858.336,21727.731,33631.879,59449.106,74067.937,19868.438,13660.742,2442.072021,39596.51172,3297.240967,48050.28906,604.8150024,47175.28125,21903.17578,44753.04688,5156.535156,39657.438,140897.48,3.552863904
2013,1,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,150113.379,21327.738,34308.916,56236.835,71117.054,19481.364,11474.335,1559.17395,41133.90625,4170.150879,49823.97266,474.4979858,44937.54297,24067.57422,45653.82031,4519.914063,39775.066,155203.36,3.90202646
2013,2,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,157057.813,22000.514,38007.993,56702.815,73310.865,21818.257,11733.406,1887.979004,41281.94531,2316.993896,50877.14844,374.9599915,46050.37891,24904.68555,48560.15625,7278.210938,12326.541,160651.7,13.03299117
2013,3,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,160724.052,22619.176,42767.338,52478.414,73113.48,21228.928,13071.925,2080.212891,42757.53125,4373.49707,52477.17969,392.9949951,42154.72266,26073.28906,48103.68359,5346.152344,116935.186,181427.4,1.551521028
2013,4,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,165390.239,22691.587,42700.171,57521.061,73974.299,20933.85,11902.083,2236.418945,41655.26563,3224.429932,50277.49609,532.4790039,46931.96875,23563.6543,47053.06641,5397.800781,140897.48,188318.35,1.336562939
2014,1,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,181747.42,22072.709,41535.97,73534.85,73885.265,22196.789,22025.681,1649.718994,42528.4375,3885.787109,51548.39844,390.6239929,61853.35156,27153.64453,47662.60938,5134.171875,155203.36,169805.35,1.09408295
2014,2,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,221330.88,29995.163,56644.139,91677.361,84174.462,31507.132,27593.035,1889.034058,42687.71875,4351.980957,52326.30469,362.3049927,74369.46875,29131.58594,47974.32422,5286.605469,41298.628,184667.175,4.471508715
2014,3,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,220405.987,30994.829,55564.3,91679.733,84854.645,31888.467,14367.194,2479.272949,49686.04688,4607.445801,61130.75781,2114.531982,75649.52344,27326.95508,56523.3125,6837.265625,15430.993,236032.965,15.29603215
2014,4,"ALFA, S.A.B. DE C.V.",ALFA,ALFA,2860,325110,232540.478,30758.166,62115.419,101504.079,93907.658,35167.052,16669.298,2958.532959,52802.23438,4040.955078,63880.10547,857.2659912,82327.17969,30232.5625,59839.14844,7036.914063,109291.5,169130.43,1.547516779
