Anio,Trimestre,anio_trim,Empresa,NombreCorto,NombreLargo,SIC,NAICS,Activos,Inventarios,PasivoCirc,PasivoLP,PPE,CPP,Efectivo,GC,CBV,UOAD,Ventas,IGR,Deuda,CPC,GO,GVGA,Precio_Accion,mkt_capital,No_Acciones,num_acciones,precio_acciones,capitalización,activos_totales,tasa_activos_trimtrim,tasa_activos_trimanual,pasivos_totales,capital_ppe,tasa_capital_trimtrim,tasa_capital_trimanual
2015,3,2015-3,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,107136.275,15855.676,22365.417,18470.54,31108.953,12894.041,382.168,1092.83606,11654.9209,2056.233887,19622.39844,234.5099945,13993.0459,21355.96875,17566.16406,5911.243164,65570.16,292900.84,4.466983762,"1,342,196,100",229.39,307886363379.00,"107,136,275,000.00",2.62,11.71,"40,835,957,000.00","31,108,953,000.00",0.14,4.738338764
2015,4,2015-4,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,115001.121,13849.931,26243.594,17898.076,31924.823,15210.742,679.058,1425.317017,19722.20508,6119.910156,32621.85938,252.5440063,14096.06641,24998.08789,26501.94922,6779.744141,16923.12,306872.79,18.13334598,"1,342,196,100",216.36,290397548196.00,"115,001,121,000.00",7.34,11.18,"44,141,670,000.00","31,924,823,000.00",2.62,5.049442942
2016,1,2016-1,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,111836.265,15396.362,21788.902,18961.227,32266.86,12282.381,5380.212,1089.113037,11196.73438,1797.770996,19084.19141,243.026001,11992.55566,22671.36914,17286.41992,6089.685547,21475.14,281311.66,13.09940983,"1,342,196,100",195.57,262493291277.00,"111,836,265,000.00",-2.75,10.64,"40,750,129,000.00","32,266,860,000.00",1.07,5.635866706
2016,2,2016-2,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,116151.807,15778.2,23104.179,19526.863,32956.092,13902.272,5580.959,1498.927002,14482.55078,3160.25708,24284.50977,250.7519989,12360.83594,23817.64063,21124.25195,6641.701172,173980.03,258704.37,1.486977385,"1,342,196,100",181.73,243917297253.00,"116,151,807,000.00",3.86,11.25,"42,631,042,000.00","32,956,092,000.00",2.14,6.089192318
2016,3,2016-3,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,134911.371,18139.121,25292.082,34676.82,33937.793,15211.697,5352.237,2185.322998,13057.36523,2236.01709,21767.11328,252.6549988,27167.93555,37798.96875,19531.0957,6473.730469,200895.03,271368.45,1.35079723,"1,342,196,100",196.12,263231499132.00,"134,911,371,000.00",16.15,25.93,"59,968,902,000.00","33,937,793,000.00",2.98,9.093330785
2016,4,2016-4,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,148400.611,16127.451,30229.61,36422.394,35463.509,19106.918,25574.23,2283.900879,21371.15625,6212.346191,35305.72266,591.8029785,28471.82617,27572.98438,29093.37695,7722.220703,52345.65,219556.57,4.194361327,"1,342,196,100",131.58,176606162838.00,"148,400,611,000.00",10.00,29.04,"66,652,004,000.00","35,463,509,000.00",4.50,11.0844342
2017,1,2017-1,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,140653.037,16432.053,21868.996,38801.659,36053.414,12488.392,22744.729,1280.303955,11860.23242,1921.86499,20651.63086,582.2260132,31556.73047,23689.48633,18729.76563,6869.533203,46779.42,216593.77,4.630108069,"1,342,196,100",145.42,195182156862.00,"140,653,037,000.00",-5.22,25.77,"60,670,655,000.00","36,053,414,000.00",1.66,11.7351177
2017,2,2017-2,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,150043.739,19240.161,28003.024,39905.319,43198.845,16836.823,6587,1378.733032,17908.20313,3657.313965,29902.90234,683.8040161,29240.73047,24640.56445,26245.58789,8337.384766,22604.14,199866.38,8.842025399,"1,342,196,100",160.09,214872173649.00,"150,043,739,000.00",6.68,29.18,"67,908,343,000.00","43,198,845,000.00",19.82,31.07999881
2017,3,2017-3,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,156494.173,22004.023,31025.935,43930.511,43790.335,18275.872,10659.884,1470.10498,16371.62598,2082.293945,27067.46484,714.7789917,33029.44922,24550.10352,24985.17188,8613.545898,186048.26,218022.8,1.171861537,"1,342,196,100",130.6,175290810660.00,"156,494,173,000.00",4.30,16.00,"74,956,446,000.00","43,790,335,000.00",1.37,29.03118067
2017,4,2017-4,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,168226.751,18486.423,35804.398,42339.976,43855.877,22535.802,16635.078,3583.292969,27247.42578,7570.210938,44546.28125,786.3839722,33358.54688,30259.40039,36976.07031,9728.644531,200001.04,170841.6,0.854203558,"1,342,196,100",137.76,184900934736.00,"168,226,751,000.00",7.50,13.36,"78,144,374,000.00","43,855,877,000.00",0.15,23.66479865
