ingreso,gasto
66.38306,32.92484
34.88283,34.87973
40.32490,13.13977
42.82588,34.06116
29.59277,12.35795
33.79599,39.25354
27.46399,11.59702
10.65754,5.54713
7.56203,5.87707
7.81894,3.65606
36.84772,18.83151
67.46066,25.00914
53.27453,37.36587
51.80503,23.15427
34.96244,19.93723
30.57017,22.09652
71.93075,24.11904
68.53534,33.91188
49.04985,19.51345
10.38419,16.02549
70.54978,28.00742
64.49997,56.13076
18.67868,21.42860
26.76801,29.03027
33.84588,61.28155
25.36438,20.95749
155.29129,30.36067
33.21745,27.50171
40.94020,54.79692
18.14198,28.18172
53.10187,22.54665
28.51944,20.47138
86.71176,151.97125
51.21705,26.75568
58.16943,34.56098
11.77375,13.72850
58.95239,24.32466
22.91824,20.73876
6.81998,1.99980
15.01796,8.21480
64.24551,24.59298
15.35918,5.26635
27.70972,18.15821
29.79125,18.26111
58.71932,42.75419
57.86986,46.87996
16.08218,16.46680
60.89504,39.10921
32.80326,32.11819
16.90214,70.15159
22.43671,9.26627
55.31662,37.09815
10.85869,7.07158
40.33905,21.02814
19.19125,6.50658
71.92658,31.52065
57.11699,24.39071
17.11350,11.58533
49.19206,23.05540
76.25727,43.01810
20.94378,8.86379
35.76647,41.74747
20.78961,13.08324
35.29359,21.28241
17.16907,9.37861
70.81304,55.10503
101.84572,56.23637
23.78732,48.09926
64.50207,44.27247
58.93955,45.92504
62.16391,36.87367
60.58397,40.48182
96.95196,80.49238
91.09601,67.46307
53.57873,71.88801
125.63749,87.30528
17.11834,4.88505
78.61438,29.03083
17.46932,23.66715
18.73677,9.70337
38.70434,17.80054
26.74345,26.92160
28.31999,18.79543
62.61486,18.63680
54.11155,23.34730
30.95292,24.82476
77.83802,33.71539
43.55214,56.36519
68.15477,38.24849
63.18773,42.91640
40.54840,9.67654
38.18266,8.85438
23.92955,8.76737
12.58597,22.45226
14.55089,8.44568
16.10951,2.63602
103.31248,17.23514
23.08574,4.37526
30.97307,0.00000
50.48467,32.01730
55.81217,44.94696
16.81804,13.40063
2.18852,4.07776
44.03503,20.43906
37.17460,18.32662
84.98728,55.85815
34.17437,24.82955
36.56378,17.40626
41.31721,27.74436
61.26907,30.11409
11.38253,9.60949
70.43477,56.65576
22.78555,29.70262
23.32171,21.51881
59.60804,28.26995
85.09628,34.10547
40.05733,30.14004
41.77372,18.80353
20.47106,4.15146
63.24589,47.34791
31.51131,39.03925
55.14451,30.52603
22.92239,13.96403
57.98321,17.55497
60.84572,27.60157
80.61021,34.61133
38.38352,13.69038
26.85081,24.62573
29.61119,24.31475
47.13378,28.34348
78.06628,43.01232
62.42078,22.67858
35.65501,15.96246
64.29443,52.22273
45.55192,22.99330
36.53194,10.53603
107.14322,41.58492
99.17188,76.04708
63.08636,21.12819
104.17127,46.43876
35.81409,10.18650
33.92376,16.10686
38.19615,13.74240
16.44794,4.75042
8.37458,9.39567
80.46463,53.35822
21.71738,19.99488
19.74445,7.64266
25.96751,16.62588
19.51628,22.86735
51.61988,23.89149
24.52734,9.71327
21.85529,12.45910
15.47704,7.09830
51.42718,46.59231
32.02068,13.64664
275.43426,169.04456
60.46002,16.06682
34.91836,13.55758
146.38863,39.10211
20.57916,6.42304
31.31609,11.41891
49.78930,23.48543
20.95376,13.91026
49.02476,52.90209
47.59390,24.57128
96.39343,32.58535
36.29891,41.42309
71.48922,12.29705
33.43150,38.36934
7.70489,14.11899
64.47425,68.66138
45.11179,49.86141
88.97353,31.52460
18.08861,15.87876
12.02086,9.16840
20.54347,18.93527
46.47307,26.12494
92.78255,48.04050
194.58681,45.28155
25.46429,13.85495
52.01802,37.15501
59.18790,87.30115
54.09149,63.19198
14.36089,10.39055
157.92595,120.65689
29.38990,14.15048
23.56186,8.48352
93.75248,38.73408
20.27704,37.70410
112.66180,62.02171
37.03275,16.34726
97.74318,27.62531
19.91801,19.06373
95.85765,74.59860
86.64743,57.32924
63.92835,82.23166
62.88250,9.33131
43.58764,29.34146
58.97009,21.50509
31.91179,13.39548
29.19341,13.59209
31.07509,27.85785
50.17137,35.23700
68.51557,16.27559
33.68154,31.97095
128.91636,33.00362
82.98487,58.20257
40.20227,26.91920
10.37490,7.50654
83.86062,23.36664
99.50468,46.90664
93.43479,65.95612
20.69754,13.14669
43.02294,6.78334
